,open,close,high,low
2023-02-21,76.529999,76.160004,77.510002,75.690002
2023-02-17,78.07,76.339996,78.25,75.059998
2023-02-16,78.540001,78.489998,79.540001,77.919998
2023-02-15,78.830002,78.589996,79.150002,77.25
2023-02-14,79.059998,79.059998,79.610001,77.459999
2023-02-13,79.940002,80.139999,80.620003,78.449997
2023-02-10,77.68,79.720001,80.330002,77.470001
2023-02-09,78.449997,78.059998,78.839996,76.519997
2023-02-08,77.489998,78.470001,78.57,77.080002
2023-02-07,74.57,77.139999,77.599998,74.349998
2023-02-06,73.230003,74.110001,74.510002,72.25
2023-02-03,75.919998,73.389999,78.0,73.099998
2023-02-02,76.790001,75.879997,77.239998,74.970001
2023-02-01,79.059998,76.410004,79.730003,76.050003
2023-01-31,77.910004,78.870003,79.25,76.550003
2023-01-30,80.040001,77.900002,80.489998,77.660004
2023-01-27,81.220001,79.68,82.480003,79.040001
2023-01-26,80.480003,81.010002,82.139999,79.919998
2023-01-25,80.260002,80.150002,81.230003,79.449997
2023-01-24,81.620003,80.129997,82.220001,79.660004
2023-01-23,81.790001,81.620003,82.639999,81.050003
2023-01-20,80.599998,81.309998,81.639999,79.690002
2023-01-19,79.139999,80.330002,81.18,78.129997
2023-01-18,80.970001,79.480003,82.379997,78.940002
2023-01-17,80.099998,80.18,81.230003,78.529999
2023-01-16,80.099998,78.849998,80.220001,78.529999
2023-01-13,78.32,79.860001,80.110001,77.970001
2023-01-12,77.699997,78.389999,79.160004,77.099998
2023-01-11,74.779999,77.410004,77.839996,74.309998
2023-01-10,74.860001,75.120003,75.919998,73.839996
2023-01-09,73.470001,74.629997,76.739998,73.470001
2023-01-06,73.970001,73.769997,75.470001,73.239998
2023-01-05,73.25,73.669998,74.919998,72.459999
2023-01-04,77.25,72.839996,77.419998,72.730003
2023-01-03,80.57,76.93,81.5,76.599998
2022-12-30,78.730003,80.260002,80.669998,77.709999
2022-12-29,78.82,78.400002,78.82,76.790001
2022-12-28,79.889999,78.959999,79.919998,77.300003
2022-12-27,79.900002,79.529999,81.18,79.160004
2022-12-23,78.18,79.559998,80.330002,77.980003
2022-12-22,78.43,77.489998,79.900002,77.029999
2022-12-21,75.989998,78.290001,78.610001,75.800003
2022-12-20,75.699997,76.089996,76.75,74.309998
2022-12-19,74.5,75.190002,76.410004,73.809998
2022-12-16,76.370003,74.290001,76.57,73.330002
2022-12-15,77.370003,76.110001,77.769997,75.330002
2022-12-14,75.269997,77.279999,77.75,74.900002
2022-12-13,73.290001,75.389999,76.370003,73.209999
2022-12-12,71.790001,73.169998,73.989998,70.25
2022-12-09,71.849998,71.019997,72.919998,70.080002
2022-12-08,72.379997,71.459999,75.440002,71.120003
2022-12-07,74.550003,72.010002,75.379997,71.75
2022-12-06,77.349998,74.25,77.879997,73.410004
2022-12-05,79.989998,76.93,82.720001,76.769997
2022-12-02,81.470001,79.980003,82.220001,79.650002
2022-12-01,80.400002,81.220001,83.339996,79.93
2022-11-30,79.0,80.550003,81.379997,78.400002
2022-11-29,76.540001,78.199997,79.650002,76.290001
2022-11-28,75.93,77.239998,77.839996,73.599998
2022-11-25,77.510002,76.279999,79.900002,76.220001
2022-11-23,81.080002,77.940002,81.949997,76.830002
2022-11-22,80.220001,80.949997,82.360001,79.849998
2022-11-21,80.300003,79.730003,80.300003,75.080002
2022-11-18,82.089996,80.080002,82.639999,77.239998
2022-11-17,85.220001,81.639999,85.449997,81.400002
2022-11-16,86.889999,85.589996,87.510002,84.199997
2022-11-15,85.25,86.919998,88.68,84.059998
2022-11-14,89.019997,85.870003,89.839996,85.150002
2022-11-11,86.269997,88.959999,90.099998,86.18
2022-11-10,85.849998,86.470001,87.349998,84.699997
2022-11-09,88.57,85.830002,89.239998,85.5
2022-11-08,91.870003,88.910004,92.169998,88.519997
2022-11-07,91.0,91.790001,93.739998,90.400002
2022-11-04,87.900002,92.610001,92.870003,87.82
2022-11-03,89.349998,88.169998,89.669998,87.599998
2022-11-02,88.620003,90.0,90.360001,87.720001
2022-11-01,86.43,88.370003,89.449997,85.919998
2022-10-31,88.389999,86.529999,88.650002,85.300003
2022-10-28,88.669998,87.900002,88.760002,87.080002
2022-10-27,88.260002,89.080002,89.790001,87.330002
2022-10-26,85.07,87.910004,88.410004,84.139999
2022-10-25,84.879997,85.32,86.029999,83.059998
2022-10-24,85.239998,84.580002,85.919998,82.629997
2022-10-21,85.07,85.050003,85.900002,83.150002
2022-10-20,85.940002,85.980003,88.169998,85.220001
2022-10-19,83.690002,85.550003,86.199997,82.589996
2022-10-18,85.699997,82.82,86.510002,82.089996
2022-10-17,85.589996,85.459999,87.120003,84.610001
2022-10-14,89.269997,85.610001,89.730003,85.199997
2022-10-13,87.080002,89.110001,89.660004,85.559998
2022-10-12,88.669998,87.269997,90.07,86.279999
2022-10-11,91.139999,89.349998,91.349998,87.910004
2022-10-10,93.480003,91.129997,93.639999,90.540001
2022-10-07,88.93,92.639999,93.309998,88.0
2022-10-06,88.080002,88.449997,89.07,87.040001
2022-10-05,86.370003,87.760002,88.419998,85.419998
2022-10-04,83.220001,86.519997,86.980003,83.220001
2022-10-03,81.019997,83.629997,84.559998,80.870003
2022-09-30,81.739998,79.489998,82.559998,79.139999
2022-09-29,81.900002,81.230003,82.940002,80.339996
2022-09-28,78.080002,82.150002,82.339996,76.550003
2022-09-27,76.470001,78.5,79.510002,76.419998
2022-09-26,79.230003,76.709999,80.309998,76.25
2022-09-23,83.540001,78.739998,83.919998,78.040001
2022-09-22,83.07,83.489998,86.0,82.400002
2022-09-21,84.25,82.940002,86.68,82.489998
2022-09-20,85.610001,84.449997,86.449997,83.519997
2022-09-19,85.209999,85.730003,86.220001,82.099998
2022-09-16,85.160004,85.110001,86.589996,84.269997
2022-09-15,88.910004,85.099998,89.150002,84.529999
2022-09-14,87.940002,88.480003,90.190002,86.18
2022-09-13,88.089996,87.309998,89.309998,85.059998
2022-09-12,86.25,87.779999,89.099998,85.160004
2022-09-09,82.800003,86.790001,87.199997,82.709999
2022-09-08,81.910004,83.540001,84.25,81.199997
2022-09-07,86.93,81.940002,87.760002,81.5
2022-09-06,86.839996,86.879997,90.389999,86.18
2022-09-02,86.559998,86.870003,89.660004,86.349998
2022-09-01,88.830002,86.610001,89.629997,85.980003
2022-08-31,92.309998,89.550003,92.730003,88.269997
2022-08-30,96.900002,91.639999,97.660004,90.540001
2022-08-29,92.959999,97.010002,97.370003,92.290001
2022-08-26,93.059998,93.059998,94.019997,91.080002
2022-08-25,95.349998,92.519997,95.760002,92.290001
2022-08-24,93.779999,94.889999,95.400002,92.790001
2022-08-23,90.550003,93.739998,94.220001,90.419998
2022-08-22,89.650002,90.230003,91.260002,86.599998
2022-08-19,90.389999,90.769997,92.089996,88.379997
2022-08-18,87.389999,90.5,91.459999,87.32
2022-08-17,87.099998,88.110001,89.160004,85.879997
2022-08-16,87.93,86.529999,90.650002,85.730003
2022-08-15,91.940002,89.410004,92.099998,86.82
2022-08-12,94.089996,92.089996,94.809998,91.160004
2022-08-11,91.550003,94.339996,95.050003,91.239998
2022-08-10,90.510002,91.93,92.43,87.660004
2022-08-09,90.690002,90.5,92.650002,89.050003
2022-08-08,88.459999,90.760002,90.889999,87.220001
2022-08-05,88.059998,89.010002,90.760002,87.010002
2022-08-04,90.949997,88.540001,91.900002,87.550003
2022-08-03,93.830002,90.660004,96.57,90.379997
2022-08-02,93.75,94.419998,96.470001,92.589996
2022-08-01,98.459999,93.889999,98.650002,92.419998
2022-07-29,97.300003,98.620003,101.879997,96.410004
2022-07-28,98.169998,96.419998,99.839996,96.040001
2022-07-27,95.599998,97.260002,98.589996,94.300003
2022-07-26,96.330002,94.980003,99.0,94.760002
2022-07-25,95.099998,96.699997,96.940002,93.010002
2022-07-22,96.510002,94.699997,97.949997,94.230003
2022-07-21,99.910004,96.349998,99.989998,94.589996
2022-07-20,103.599998,102.260002,104.389999,101.510002
2022-07-19,102.0,104.220001,104.459999,99.849998
2022-07-18,97.269997,102.599998,102.800003,95.849998
2022-07-15,96.389999,97.589996,99.029999,94.57
2022-07-14,96.57,95.779999,97.0,90.559998
2022-07-13,95.889999,96.300003,97.959999,93.669998
2022-07-12,103.459999,95.839996,103.489998,95.349998
2022-07-11,104.790001,104.089996,105.050003,100.889999
2022-07-08,102.220001,104.790001,105.239998,101.510002
2022-07-07,98.220001,102.730003,104.480003,96.57
2022-07-06,100.360001,98.529999,102.139999,95.099998
2022-07-05,108.800003,99.5,111.449997,97.43
2022-07-01,106.010002,108.43,109.339996,104.559998
2022-06-30,109.699997,105.760002,110.449997,105.099998
2022-06-29,111.860001,109.779999,114.050003,109.220001
2022-06-28,110.18,111.760002,112.220001,109.620003
2022-06-27,107.220001,109.57,110.540001,105.599998
2022-06-24,103.989998,107.620003,108.580002,103.639999
2022-06-23,104.419998,104.269997,107.050003,102.32
2022-06-22,109.540001,106.190002,109.760002,101.529999
2022-06-21,110.580002,110.650002,112.470001,108.720001
2022-06-20,110.580002,110.269997,110.949997,108.720001
2022-06-17,117.080002,109.559998,118.970001,108.25
2022-06-16,115.980003,117.589996,118.080002,112.309998
2022-06-15,119.07,115.309998,119.610001,114.599998
2022-06-14,121.089996,118.93,123.68,116.620003
2022-06-13,120.190002,120.93,122.25,117.470001
2022-06-10,121.459999,120.669998,122.75,118.330002
2022-06-09,122.43,121.510002,122.720001,120.790001
2022-06-08,119.790001,122.110001,123.18,119.300003
