,open,close,high,low
2021-10-18,744.25,749.0,749.75,741.25
2021-10-15,731.0,743.75,748.0,729.5
2021-10-14,721.75,731.0,735.75,721.0
2021-10-13,740.5,721.75,742.0,716.0
2021-10-12,734.0,739.75,748.0,726.0
2021-10-11,735.75,734.5,742.0,733.75
2021-10-08,740.25,737.5,747.75,735.25
2021-10-07,745.0,741.25,751.0,738.75
2021-10-06,741.5,745.0,753.25,738.75
2021-10-05,753.75,741.0,754.25,738.0
2021-10-04,755.25,754.25,764.25,751.25
2021-10-01,730.5,759.5,761.75,728.0
2021-09-30,711.75,731.75,737.75,703.5
2021-09-29,707.5,711.75,715.25,707.5
2021-09-28,719.25,705.0,725.5,703.0
2021-09-27,717.5,720.75,724.5,717.5
2021-09-24,720.0,719.75,723.75,713.25
2021-09-23,706.5,720.0,721.5,705.75
2021-09-22,690.0,706.0,706.75,688.5
2021-09-21,700.0,690.5,701.75,686.25
2021-09-20,712.5,700.0,715.0,697.0
2021-09-17,720.5,713.0,723.0,712.25
2021-09-16,715.5,720.5,722.0,710.5
2021-09-15,701.75,716.0,717.25,698.5
2021-09-14,686.5,686.5,686.5,686.5
2021-09-13,672.75,678.25,684.0,666.25
2021-09-10,675.25,676.25,676.25,673.0
2021-09-09,684.0,676.5,684.5,676.5
2021-09-08,703.0,697.0,704.0,697.0
2021-09-07,703.5,709.75,709.75,703.5
2021-09-03,702.0,715.25,715.25,701.5
2021-09-02,695.25,701.25,701.25,694.25
2021-09-01,705.0,695.25,705.0,695.25
2021-08-31,701.75,705.25,707.5,688.5
2021-08-30,715.25,704.25,724.75,701.0
2021-08-27,715.5,712.25,723.0,709.0
2021-08-26,702.0,715.5,717.0,700.0
2021-08-25,704.25,702.0,708.25,696.5
2021-08-24,706.75,704.25,709.5,696.0
2021-08-23,699.75,704.25,715.75,697.25
2021-08-20,715.5,702.0,718.75,695.25
2021-08-19,722.5,715.5,722.75,707.0
2021-08-18,716.5,723.75,725.5,703.75
2021-08-17,738.0,716.75,740.75,713.25
2021-08-16,742.0,736.5,749.0,734.75
2021-08-13,736.0,742.25,756.25,732.0
2021-08-12,709.0,738.75,747.0,706.5
2021-08-11,713.0,710.25,718.0,705.25
2021-08-10,700.75,714.25,718.0,699.5
2021-08-09,704.75,701.5,712.0,696.75
2021-08-06,691.5,705.75,708.25,689.0
2021-08-05,692.25,691.5,702.25,687.75
2021-08-04,705.5,694.25,719.0,692.5
2021-08-03,701.5,707.5,711.75,695.25
2021-08-02,672.25,703.5,705.75,672.25
2021-07-30,673.25,673.25,679.5,664.0
2021-07-29,659.5,674.5,677.75,658.0
2021-07-28,641.0,659.5,660.75,640.75
2021-07-27,641.0,641.5,655.0,635.5
2021-07-26,649.0,639.0,649.0,631.0
2021-07-23,650.0,646.0,660.5,639.25
2021-07-22,665.5,653.75,666.75,644.75
2021-07-21,660.0,668.75,670.5,660.0
2021-07-20,652.75,660.25,674.25,652.75
2021-07-19,658.25,652.25,668.0,649.25
2021-07-16,639.0,651.5,660.75,637.5
2021-07-15,626.0,640.25,641.0,623.5
2021-07-14,617.5,617.5,617.5,617.5
2021-07-13,607.5,612.5,625.75,607.5
2021-07-12,622.0,616.0,622.0,604.75
2021-07-09,588.0,599.0,603.5,588.0
2021-07-08,580.0,590.25,593.75,580.0
2021-07-07,577.25,581.0,586.75,573.25
2021-07-06,599.0,575.5,599.0,573.0
2021-07-02,632.0,611.25,632.0,608.75
2021-07-01,653.5,631.5,661.5,630.0
2021-06-30,617.0,650.25,650.25,607.25
2021-06-29,620.25,619.0,635.0,614.25
2021-06-28,600.25,618.0,623.25,600.0
2021-06-25,605.5,600.25,615.0,596.75
2021-06-24,610.0,606.0,614.0,598.75
2021-06-23,599.75,612.0,618.75,598.25
2021-06-22,605.0,596.5,612.5,595.25
2021-06-21,607.5,599.75,611.0,587.5
2021-06-18,586.25,606.5,616.25,585.5
2021-06-17,611.75,585.25,613.25,583.75
2021-06-16,613.0,610.75,622.75,608.5
2021-06-15,627.75,612.75,628.25,602.25
2021-06-14,635.0,628.0,636.5,612.5
2021-06-11,639.75,638.0,642.75,624.25
2021-06-10,636.25,640.25,647.25,630.5
2021-06-09,633.25,635.75,637.0,621.0
2021-06-08,632.25,632.5,650.25,628.5
2021-06-07,645.0,630.0,654.5,627.25
2021-06-04,623.75,636.5,639.75,622.5
2021-06-03,634.0,624.25,646.75,617.5
2021-06-02,636.0,633.75,646.75,625.5
2021-06-01,623.25,637.5,653.0,621.5
2021-05-28,627.75,613.25,629.5,610.75
2021-05-27,600.75,626.25,629.5,599.0
2021-05-26,604.0,598.75,606.5,588.0
2021-05-25,617.5,604.5,620.0,597.0
2021-05-24,618.0,615.25,620.25,606.25
2021-05-21,625.25,624.0,627.5,615.75
2021-05-20,639.0,625.0,643.5,622.25
2021-05-19,647.75,633.75,649.5,619.25
2021-05-18,653.0,647.75,670.5,642.5
2021-05-17,657.75,652.25,659.0,643.25
2021-05-14,651.75,651.75,651.75,651.75
2021-05-13,677.5,652.25,677.5,652.25
2021-05-12,682.75,682.75,682.75,682.75
2021-05-11,707.0,702.5,707.0,702.5
2021-05-10,713.25,695.5,713.25,695.5
2021-05-07,724.0,727.75,727.75,724.0
2021-05-06,709.5,717.75,717.75,709.5
2021-05-05,709.75,709.75,709.75,709.75
2021-05-04,683.0,691.0,691.0,680.5
2021-05-03,687.0,682.5,690.25,682.5
2021-04-30,687.5,698.25,698.25,681.25
2021-04-29,687.0,688.5,695.25,674.5
2021-04-28,703.0,689.25,711.75,682.25
2021-04-27,703.5,704.25,734.75,695.75
2021-04-26,674.0,701.75,712.0,674.0
2021-04-23,667.25,673.25,675.75,660.75
2021-04-22,630.75,667.5,670.75,630.75
2021-04-21,623.0,630.75,636.5,618.5
2021-04-20,612.0,620.75,635.75,609.25
2021-04-19,610.0,612.0,618.5,609.5
2021-04-16,607.75,609.25,616.0,601.0
2021-04-15,604.25,607.75,610.75,596.0
2021-04-14,584.0,603.5,608.75,584.0
2021-04-13,580.0,584.75,587.0,576.25
2021-04-12,586.5,579.0,588.5,575.75
2021-04-09,578.75,586.5,592.5,576.75
2021-04-08,563.5,576.5,580.0,563.5
2021-04-07,556.25,563.25,566.25,555.25
2021-04-06,565.25,555.5,567.0,553.5
2021-04-05,563.25,563.0,573.75,561.75
2021-04-01,577.75,565.0,582.0,559.0
2021-03-31,559.25,575.75,587.0,553.0
2021-03-30,569.0,558.5,569.25,556.25
2021-03-29,569.25,569.5,570.25,558.25
2021-03-26,566.75,568.25,572.5,562.5
2021-03-25,576.25,566.75,577.5,565.5
2021-03-24,582.0,576.25,582.75,575.0
2021-03-23,577.0,582.0,587.0,566.5
2021-03-22,587.5,578.25,587.5,574.25
2021-03-19,587.0,585.5,590.25,580.0
2021-03-18,600.5,587.0,601.75,585.5
2021-03-17,606.5,601.0,609.25,600.25
2021-03-16,605.75,608.25,609.0,591.25
2021-03-15,604.0,606.75,609.0,598.25
2021-03-12,595.0,595.0,595.0,595.0
2021-03-11,597.0,595.75,597.0,593.75
2021-03-10,605.0,608.0,608.0,605.0
2021-03-09,618.0,618.0,618.0,618.0
2021-03-08,611.75,613.25,615.5,611.75
2021-03-05,617.25,617.25,617.25,617.25
2021-03-04,616.5,612.75,616.5,612.75
2021-03-03,616.0,617.5,617.5,615.5
2021-03-02,620.0,627.0,630.75,620.0
2021-03-01,629.0,614.25,629.0,614.25
2021-02-26,637.0,624.75,637.0,624.75
2021-02-25,654.25,644.25,656.0,637.25
2021-02-24,642.0,656.0,657.0,639.0
2021-02-23,645.0,641.0,645.5,635.0
2021-02-22,632.75,644.5,645.25,632.75
2021-02-19,637.25,631.75,645.5,627.75
2021-02-18,623.5,636.75,639.0,623.0
2021-02-17,639.0,624.5,640.0,619.75
2021-02-16,628.75,637.5,639.5,625.0
2021-02-12,612.0,616.75,624.25,612.0
2021-02-11,614.0,611.0,625.5,609.25
2021-02-10,634.0,614.0,635.25,610.75
2021-02-09,642.0,633.5,644.0,625.5
2021-02-08,627.75,639.5,642.0,626.25
2021-02-05,616.75,625.25,629.75,612.75
2021-02-04,625.0,618.75,630.0,614.5
2021-02-03,619.0,625.5,628.25,604.5
2021-02-02,627.0,619.0,629.75,616.75
2021-02-01,638.5,625.25,644.0,616.75
2021-01-29,628.0,638.0,639.75,623.25
2021-01-28,635.75,626.0,645.25,624.0
2021-01-27,640.5,636.75,648.0,630.75
2021-01-26,626.0,641.0,645.5,620.5
2021-01-25,613.25,627.25,630.25,605.5
2021-01-22,633.75,613.25,634.25,611.75
2021-01-21,637.0,635.75,646.5,632.25
2021-01-20,645.5,637.0,647.75,633.25
2021-01-19,649.75,644.0,657.0,638.75
2021-01-15,637.75,643.0,660.0,635.5
2021-01-14,625.75,636.5,640.75,621.0
2021-01-13,622.0,625.75,639.5,617.75
2021-01-12,596.25,622.5,626.5,594.0
2021-01-11,594.5,594.0,604.75,588.0
2021-01-08,600.0,594.75,601.75,587.25
2021-01-07,604.0,598.5,605.75,596.5
2021-01-06,609.25,603.5,615.0,603.0
2021-01-05,599.5,609.25,616.5,596.0
2021-01-04,605.0,599.5,613.75,597.0
2020-12-31,600.0,603.5,606.5,594.0
2020-12-30,585.0,601.25,604.75,580.75
2020-12-29,577.0,585.0,587.25,575.0
2020-12-28,590.5,577.0,592.0,569.75
2020-12-24,588.0,589.0,591.5,585.0
2020-12-23,577.5,588.0,593.0,573.0
2020-12-22,574.5,579.25,581.5,563.0
2020-12-21,572.0,574.5,575.25,557.5
2020-12-18,570.75,569.25,574.75,564.25
