,open,close,high,low
2022-08-25,430.25,415.0,430.25,409.5
2022-08-24,418.75,424.0,424.5,418.75
2022-08-23,414.5,412.75,422.5,411.0
2022-08-22,422.75,412.75,424.0,410.0
2022-08-19,405.0,418.75,419.75,405.0
2022-08-18,428.5,412.75,430.0,403.75
2022-08-17,445.0,431.75,445.0,431.75
2022-08-16,454.5,441.75,454.75,441.75
2022-08-15,453.0,460.25,467.25,449.75
2022-08-12,450.0,458.25,474.5,450.0
2022-08-11,431.0,454.75,458.5,428.75
2022-08-10,431.25,428.25,449.0,426.25
2022-08-09,453.5,440.0,474.75,438.0
2022-08-08,422.25,461.0,464.75,422.25
2022-08-05,417.0,422.5,430.0,409.5
2022-08-04,415.0,416.0,419.25,409.0
2022-08-03,416.75,410.5,434.75,410.0
2022-08-02,435.0,421.0,439.5,410.75
2022-08-01,448.0,440.5,448.0,435.25
2022-07-29,448.0,448.0,456.25,440.5
2022-07-28,450.0,448.0,453.5,442.5
2022-07-27,461.0,440.5,461.0,436.5
2022-07-26,437.0,451.5,459.75,435.0
2022-07-25,452.5,442.5,452.5,438.0
2022-07-22,472.75,452.5,472.75,436.25
2022-07-21,481.0,473.5,481.0,467.0
2022-07-20,480.0,477.5,485.0,477.0
2022-07-19,489.25,479.25,489.5,477.0
2022-07-18,473.75,480.0,497.5,473.75
2022-07-15,474.0,464.75,476.0,463.0
2022-07-14,654.25,654.25,654.25,654.25
2022-07-13,654.25,654.25,654.25,654.25
2022-07-12,654.0,654.0,654.0,654.0
2022-07-11,686.25,686.25,686.25,686.25
2022-07-08,655.0,686.75,686.75,655.0
2022-07-07,666.5,660.5,666.5,660.5
2022-07-06,672.0,666.5,676.5,663.75
2022-07-05,677.0,654.0,677.0,654.0
2022-07-01,677.0,650.25,677.0,650.25
2022-06-30,677.0,661.25,677.0,660.0
2022-06-29,624.25,664.0,675.0,624.25
2022-06-28,629.75,629.75,632.75,611.25
2022-06-27,607.75,619.0,632.5,601.25
2022-06-24,598.0,597.0,608.0,590.0
2022-06-23,619.0,598.25,621.25,589.0
2022-06-22,632.0,621.75,633.25,615.0
2022-06-21,658.25,636.5,659.5,632.25
2022-06-17,658.25,664.5,667.75,655.25
2022-06-16,663.0,658.25,663.0,655.25
2022-06-15,661.5,661.25,674.5,656.25
2022-06-14,662.5,666.75,670.5,653.0
2022-06-13,650.0,659.75,661.75,631.5
2022-06-10,669.75,651.25,670.0,649.0
2022-06-09,661.75,667.5,677.0,657.5
2022-06-08,668.25,661.5,668.25,650.5
2022-06-07,680.75,668.0,694.75,665.25
2022-06-06,690.0,680.25,690.75,671.25
2022-06-03,655.0,690.5,692.5,654.0
2022-06-02,648.75,653.5,662.75,647.25
2022-06-01,670.25,646.5,670.25,645.25
2022-05-31,704.0,669.75,708.25,663.75
2022-05-27,680.5,703.75,705.75,679.75
2022-05-26,674.5,685.25,687.0,673.75
2022-05-25,674.75,680.75,681.75,658.75
2022-05-24,632.5,674.25,674.75,632.5
2022-05-23,614.5,629.75,644.25,614.25
2022-05-20,625.0,612.75,625.0,607.0
2022-05-19,644.75,627.75,644.75,617.5
2022-05-18,655.75,641.75,655.75,630.75
2022-05-17,639.5,653.75,658.5,628.25
2022-05-16,622.25,639.5,649.5,622.25
2022-05-13,654.5,654.5,654.5,654.5
2022-05-12,654.5,654.5,654.5,654.5
2022-05-11,715.0,633.25,715.0,633.25
2022-05-10,629.25,629.25,629.25,629.25
2022-05-09,645.5,645.5,645.5,645.5
2022-05-06,657.5,657.5,657.5,657.5
2022-05-05,689.5,689.5,689.5,689.5
2022-05-04,710.0,708.75,710.0,701.75
2022-05-03,690.0,702.5,702.5,690.0
2022-05-02,680.5,684.0,684.0,680.5
2022-04-29,705.0,675.5,710.0,675.5
2022-04-28,676.0,693.0,725.0,675.0
2022-04-27,696.25,671.25,696.5,665.0
2022-04-26,721.5,694.0,721.5,680.0
2022-04-25,721.25,715.25,745.75,713.5
2022-04-22,710.25,721.25,726.25,708.25
2022-04-21,728.5,711.5,731.0,705.0
2022-04-20,741.0,723.5,741.0,723.5
2022-04-19,763.25,746.5,764.0,743.0
2022-04-18,745.0,761.25,767.0,735.0
2022-04-14,795.0,757.0,799.75,756.75
2022-04-13,801.25,796.75,806.75,791.25
2022-04-12,803.0,807.0,811.0,799.75
2022-04-11,786.25,803.0,807.75,786.25
2022-04-08,772.75,794.5,797.25,766.0
2022-04-07,753.75,767.25,772.25,750.0
2022-04-06,742.0,752.5,755.5,737.0
2022-04-05,730.0,745.25,747.0,730.0
2022-04-04,734.75,730.5,741.0,729.25
2022-04-01,729.5,740.0,740.75,720.75
2022-03-31,728.5,727.5,733.25,713.25
2022-03-30,713.0,730.0,741.0,712.0
2022-03-29,756.0,719.0,760.0,716.0
2022-03-28,732.75,756.0,759.5,727.75
2022-03-25,710.75,738.0,741.75,702.5
2022-03-24,719.5,703.25,720.25,693.5
2022-03-23,722.0,722.0,736.0,719.5
2022-03-22,722.25,724.0,729.0,716.5
2022-03-21,693.5,727.0,729.25,693.5
2022-03-18,680.0,695.0,695.0,680.0
2022-03-17,665.5,680.25,681.0,663.25
2022-03-16,658.25,664.75,672.75,657.5
2022-03-15,663.0,661.5,664.0,645.25
2022-03-14,722.0,722.0,722.0,722.0
2022-03-11,722.0,722.0,722.0,722.0
2022-03-10,717.75,717.75,717.75,717.75
2022-03-09,740.0,695.5,740.0,695.5
2022-03-08,702.75,702.75,702.75,702.75
2022-03-07,702.0,702.0,702.0,702.0
2022-03-04,725.25,725.25,725.25,725.25
2022-03-03,741.25,726.25,741.25,726.25
2022-03-02,715.25,716.0,716.0,715.0
2022-03-01,700.0,731.0,738.5,700.0
2022-02-28,692.0,695.75,699.75,687.75
2022-02-25,655.5,644.25,669.5,635.25
2022-02-24,678.25,656.0,718.75,654.0
2022-02-23,695.0,678.75,702.75,665.0
2022-02-22,699.75,680.25,700.0,649.5
2022-02-18,716.25,689.5,717.75,685.25
2022-02-17,721.5,715.0,730.0,712.5
2022-02-16,716.75,719.25,731.75,710.0
2022-02-15,744.0,719.25,744.0,715.25
